Храм Святых новомучеников и исповедников Российских;+7 (495) 817-74-39;;Калужское шоссе 24 км, 1;hram-poligon-kommunarka.ru;55.579 37.456;church
Временный храм в честь царя страстотерпца Николая II в Аннино;+7 (495) 971-90-25;+7 (901) 574-80-25;Варшавское шоссе, вл160;tsar-hram.ru;55.582 37.595;church
Храм в честь иконы Божией Матери Нечаянная Радость в Чертанове;;+7 (985) 954-95-94;Днепропетровская ул., вл4А, Москва;hram-radost.ru;55.623 37.599;church
Студенческая Церковь Введения во Храм Пресвятой Богородицы;+7 (499) 979-00-99, +7 (495) 925-53-53, +7 (499) 731-10-72, +7 (495) 221-10-01, +7 (499) 611-53-50, +7 (499) 369-14-47, +7 (495) 232-01-62, +7 (499) 151-66-05;+7 (915) 098-07-88, +7 (926) 678-81-92, +7 (916) 104-07-94, +7 (916) 418-09-75;ул. Введенского, 1А, Москва;masi.ru , mfua.ru;55.648 37.550;church
Храм священномучеников Власия и Харалампия;;+7 (925) 602-80-04;улица Борисовские Пруды, 4а;vlasy-haralampy.moseparh.ru;55.635 37.733;church
Церковь Марии Египетской в Братееве;;+7 (985) 033-93-11, +7 (916) 781-99-32;ул. Борисовские Пруды, вл33, Москва;maria-egypt.moseparh.ru , maria-egypt.cerkov.ru;55.639 37.744;church
Храм святых апостолов Петра и Павла в Тропарево;;+7 (977) 899-33-93;проспект Вернадского, вл1а;petrapavlahram.ru;55.668 37.488;church
Православный храм святых равноапостольных князя Владимира и княгини Ольги в Черемушках;;+7 (985) 061-36-59, +7 (985) 765-11-64;улица Вавилова, вл10 к1;st-vladimir-olga.ru;55.676 37.547;church
Храм Святой Равноапостольной Нины в Черемушках;;+7 (916) 108-66-59, +7 (916) 114-70-38;Профсоюзная ул., вл21/23, Москва;deva-apostol.moseparh.ru;55.675 37.562;church
Храм Преподобного Андрея Рублева;+7 (499) 739-30-53, +7 (495) 734-23-12;+7 (905) 506-96-12;Мичуринский проспект, к37;hramramenki.ru;55.694 37.494;church
Храм во имя преподобного Иоанна Рыльского при психиатрической больнице им. Н.А. Алексеева;+7 (495) 954-15-31;;Загородное шоссе, 2 ст10;donblago.ru;55.700 37.608;church
Церковь Святителей Московских;+7 (495) 978-12-82;+7 (901) 517-12-82;Можайское ш., 56А, Москва;svt-iov.ru;55.716 37.399;church
