Московский исламский институт;+7 (495) 351-30-67, +7 (495) 351-91-97, +7 (495) 351-40-75;+7 (906) 776-99-43;пр. Кирова, 12, Москва;miu.su;55.672 37.745;education
Институт остеопатии Санкт-Петербурга;+7 (499) 703-12-40, +7 (846) 303-40-82, +7 (812) 309-91-81;+7 (969) 721-62-65;улица Нагатинская, 16 ст9;институт-остеопатии.рф , osteopathie.ru;55.679 37.641;education
Московское высшее военное командное училище;+7 (499) 175-82-45, +7 (499) 746-93-01, +7 (495) 696-51-02;;ул. Головачёва, 2, Москва;mvoku.mil.ru , mkpu.ru;55.678 37.820;education
Институт Современного Искусства, Факультет дизайна и менеджмента;+7 (495) 444-20-05, +7 (499) 444-39-58, +7 (499) 749-98-44, +7 (495) 236-88-78, +7 (495) 136-36-07, +7 (499) 444-82-61, +7 (499) 444-60-21;+7 (903) 141-10-34, +7 (963) 782-33-07, +7 (985) 565-66-19, +7 (985) 921-57-76, +7 (965) 326-05-47, +7 (905) 512-71-77, +7 (903) 614-27-61, +7 (903) 240-03-82, +7 (909) 945-56-75, +7 (965) 262-76-22;пр. Загорского, 23, Москва;isi-vuz.ru;55.717 37.442;education
Национальный институт финансовых рынков и управления;+7 (495) 369-05-30;;2-й Кожевнический переулок, 12 ст10;nifru.ru;55.726 37.649;education
Религиозная организация Духовного образовательная организация высшего образования Московский теологический институт христиан веры евангельской;+7 (495) 700-33-52, +7 (495) 700-33-53;;Оренбургская ул., 10А, Москва;mti-rc.ru;55.712 37.859;education
Институт современного банковского дела;+7 (495) 111-38-68;+7 (926) 433-93-53, +7 (910) 431-55-93;ул. Арбат, 6/2, Москва;isbd.ru;55.752 37.598;education
Институт развития интернета;+7 (495) 109-00-80;+7 (925) 840-68-28;Кадашёвская набережная, 6/1/2 ст1;ири.рф;55.743 37.618;education
Институт журналистики и литературного творчества;+7 (495) 691-59-36, +7 (495) 691-50-87;;Калашный переулок, 3;iglt.ru;55.755 37.602;education
Российский институт театрального искусства, Продюcерский факультет;+7 (499) 134-76-18, +7 (495) 137-69-34, +7 (495) 629-86-61;;Малый Кисловский переулок, 4 ст6;gitis.net , teatr-gitis.net;55.755 37.604;education
Высшее театральное училище (институт) им. М.С. Щепкина, Государственный академический малый театр России;+7 (495) 628-53-28, +7 (495) 624-38-89, +7 (495) 624-38-87, +7 (495) 625-45-58, +7 (495) 621-47-02, +7 (495) 625-61-97;+7 (926) 031-51-22;Неглинная ул., 6/2, Москва;shepkinskoe.ru;55.760 37.621;education
