ДомНаБис;+7 (495) 796-67-66;+7 (925) 708-34-94;Каширское ш., вл63к1, Москва;domnabis.ru;55.607 37.720;museum
Солнцево, галерея;+7 (495) 699-78-96, +7 (495) 439-51-80, +7 (495) 435-66-24, +7 (495) 699-78-79;;ул. Богданова, 44, Москва;solncevo.vzmoscow.ru , vzmoscow.ru;55.651 37.396;museum
Художественная галерея Сергея Молоденкова;+7 (495) 249-00-68;+7 (916) 691-35-85;Москва, поселение Московский, Киевское шоссе, 22-й километр, 4с1кА;molodenkov-gallery.ru;55.635 37.438;museum
DeMakso;;+7 (929) 765-77-55, +7 (927) 373-63-33;Москва, поселение Московский, Киевское шоссе, 22-й километр, 4с1кА;demakso.ru;55.635 37.438;museum
Изопарк;+7 (495) 336-97-13;;ул. Академика Арцимовича, 22/19, Москва;izopark.ru;55.639 37.511;museum
Беляево, художественная галерея;+7 (495) 335-83-22, +7 (499) 793-41-21;;Профсоюзная ул., 100, Москва;belyaevo.vzmoscow.ru , vzmoscow.ru;55.645 37.526;museum
Nikolskaya gallery, галерея;+7 (495) 774-29-36;+7 (903) 611-70-73;ул. Бутлерова, 17, Москва;popupmuseum.ru , nikolskayagallery.com;55.650 37.540;museum
Чертаново, галерея;+7 (495) 312-80-00;;проезд Сумской, 6а;centerkis.ru;55.636 37.610;museum
Gm art gallery;+7 (495) 145-30-38, +7 (495) 922-34-15;+7 (916) 624-14-18, +7 (916) 085-31-11;МКАД, 47-й километр, вл31с1, Москва;gmgallery.net , gmartgallery.ru;55.659 37.431;museum
Центр современного искусства;+7 (499) 400-02-48, +7 (499) 245-03-10, +7 (499) 702-41-41;;просп. Вернадского, 88, Москва;mpgu.su;55.658 37.477;museum
Good art;+7 (495) 760-74-11;;Каширское ш., 14, Москва;artbulvar.com;55.665 37.626;museum
Сытный двор;+7 (499) 614-82-98, +7 (499) 615-27-71, +7 (499) 615-27-68, +7 (499) 615-37-24, +7 (499) 165-09-72, +7 (499) 615-51-96, +7 (499) 165-13-36, +7 (499) 165-12-36, +7 (499) 612-52-17;+7 (910) 430-83-82, +7 (977) 955-23-79;просп. Андропова, 39, стр. 3А, Москва;mgomz.ru;55.667 37.669;museum
Выставочный зал;;+7 (906) 526-16-07;ул. Кржижановского, 3, Москва;nugabest.ru;55.683 37.562;museum
Kibart;;+7 (967) 032-28-74, +7 (985) 333-66-89;просп. Андропова, 22, Москва;kibart.ru;55.683 37.662;museum
Галерея Eurasium Евразиум;+7 (495) 118-22-21;+7 (925) 022-33-02;просп. Андропова, 17, корп. 1, Москва;artcurators.ru;55.684 37.667;museum
Музей развития электрических сетей Московского региона;+7 (383) 974-25-49, +7 (495) 662-40-70;+7 (916) 942-02-58;ул. Вавилова, 7Б, Москва;museum.rossetimr.ru;55.705 37.587;museum
Аукционный дом Даев 33, галерея искусств;;+7 (916) 119-13-72, +7 (916) 119-13-73, +7 (916) 119-69-25;3-й Донской пр., 1, Москва;daev-33-gallery.ru;55.711 37.599;museum
Art-grigor Gallery;;+7 (926) 471-52-05;7-я Кожуховская ул., 9, Москва;art-grigor.ucoz.com;55.710 37.675;museum
Галерея Леа;+7 (499) 704-44-88;+7 (920) 901-60-00;к3, Западный административный округ, район Очаково-Матвеевское, жилой комплекс Городские резиденции Спайрс, Москва;artgallery-lea.ru;55.717 37.475;museum
Галерея Валентина Рябова;+7 (495) 795-67-72;+7 (903) 795-67-72;Минская ул., 1Г, корп. 1, Москва;ryabovexpo.ru;55.713 37.501;museum
